feature,importance_mean,importance_std
reskilling_need_share,0.12822069616588774,0.020928940187564075
workers_wanting_more_hours_share,0.09788498264842133,0.017084388559100324
idle_time_share,0.071897275021566,0.02096804071975821
can_absorb_demand_shock,0.06816355619985863,0.01942701572068858
admin_worker_share,0.040415604522566186,0.010298150469625617
ai_g1b_flag,0.039236796346448166,0.00934421580555435
ai_b3a3_flag,0.030557644448572407,0.00906151478982495
ai_b3a2_flag,0.029073805178101254,0.009027988623796111
customer_digitization,0.02662332477491586,0.006509515803365378
ai_b2a4_flag,0.021553746889278677,0.009457099333250273
uses_genai,0.020828476394853256,0.014313366082375026
share_clerical,0.015903010090050514,0.0081540177531613
sales_seasonality_ratio,0.013288090094877391,0.00497963515727208
share_professionals,0.007371926480244118,0.005060708695331093
ai_g1f_flag,0.007275173861412861,0.005776053368354639
policy_support_score,0.007054095127950448,0.0076769414112953524
ai_breadth_score,0.006486343651321236,0.004485642291862909
worker_seasonality_ratio,0.005568743663063266,0.003076985448775113
task_breadth,0.0028795043525043176,0.002995666202637833
finance_digitization,0.0028763439580454502,0.005476963508132015
supplychain_digitization,0.002441553094938313,0.004859318371473589
share_managers,0.0005778924457338593,0.0037727711648897645
share_computer_use,-0.002301452893653925,0.00552612066484735
log_workers,-0.00409362144422604,0.003241125421983235
has_website,-0.007532455493112352,0.004874562080014893
